ticker,raw_pos_collected,raw_neg_collected,final_pos,final_neg
PG,9982,4866,510,227
PGR,1948,1677,237,108
PH,710,308,190,100
PHM,12000,9006,256,106
PKG,1694,334,114,65
PLD,590,144,238,63
PLTR,12000,10379,415,227
PM,11286,2542,400,131
PNC,12000,5153,275,88
PNR,6803,1368,191,56
PNW,304,178,114,66
PODD,657,215,191,102
POOL,1803,904,115,71
PPG,1186,272,425,100
PPL,12000,4669,284,126
PRU,12000,12000,27,177
PSA,12000,3265,116,36
PSKY,264,58,37,9
PSX,1899,671,226,110
PTC,7631,3906,267,137
PWR,473,138,146,59
PYPL,12000,12000,476,285
Q,5361,1182,171,53
QCOM,6179,2287,545,152
RCL,783,440,300,125
REG,5191,1377,143,58
REGN,2169,1265,586,223
RF,12000,4726,261,100
RJF,1858,488,236,100
RL,3615,575,281,72
RMD,3515,2002,234,113
ROK,3127,1019,300,129
ROL,859,220,166,54
ROP,703,133,260,46
ROST,2352,599,434,96
RSG,3220,785,313,115
RTX,10799,3812,673,192
RVTY,1321,401,199,76
SBAC,637,186,137,55
SBUX,11819,7737,584,448
SCHW,9300,4528,440,233
SHW,1061,352,251,130
SJM,12000,9080,174,130
SLB,5801,1104,340,98
SMCI,8152,10092,345,337
SNA,4263,2027,122,59
SNDK,272,80,13,4
SNPS,1006,368,366,89
SO,11051,3736,628,171
SOLV,129,4,48,3
SPG,1692,317,229,56
SPGI,8282,3863,1500,1500
SRE,3201,1172,368,178
STE,9220,2780,245,94
STLD,660,145,179,60
STT,11852,6774,534,224
STX,6038,4735,351,189
STZ,1881,1616,287,202
SW,12000,3919,169,118
SWK,12000,6043,245,153
SWKS,3162,1271,193,136
SYF,2556,1072,308,114
SYK,1929,449,241,79
SYY,6287,2423,269,123
T,12000,5801,973,446
TAP,12000,4704,116,186
TDG,1227,368,205,87
TDY,510,216,183,60
TECH,4662,991,290,73
TEL,11608,4762,455,167
TER,1294,624,263,108
TFC,12000,7955,97,165
TGT,2788,1855,694,389
TJX,8716,2238,320,79
TKO,1019,458,243,121
TMO,6433,2031,465,74
TMUS,11045,2816,697,131
TPL,3414,374,66,17
TPR,4030,1294,345,117
TRGP,400,299,95,61
TRMB,1574,332,237,48
TROW,393,155,160,68
TRV,4028,658,103,40
TSCO,10597,2079,566,139
TSLA,12000,12000,1500,1500
TSN,12000,3742,74,254
TT,6652,2563,251,62
TTD,1347,1395,291,262
TTWO,613,380,263,143
TXN,3668,1500,258,115
TXT,579,140,176,49
TYL,1294,561,212,55
UAL,12000,11606,262,273
UBER,12000,5941,617,333
UDR,2418,821,99,49
UHS,1977,607,108,70
ULTA,1231,328,291,111
UNH,11978,11938,523,328
UNP,5842,1543,243,83
UPS,5348,1659,472,211
URI,5672,3812,257,99
USB,12000,8256,331,167
V,12000,12000,503,223
VICI,495,52,149,24
VLO,2337,915,200,95
VLTO,211,85,51,17
VMC,1258,350,211,39
VRSK,1728,376,255,74
VRSN,541,349,47,40
VRTX,4923,2326,324,83
VST,11947,5607,276,97
VTR,747,444,177,79
VTRS,5469,9535,235,234
VZ,12000,2922,1088,180
WAB,3673,987,206,84
WAT,12000,8022,216,95
WBD,12000,12000,312,229
WDAY,1364,620,469,175
WDC,997,759,245,153
WEC,3769,2046,121,66
WELL,12000,2802,374,63
WFC,1928,651,677,254
WM,3292,1258,327,87
WMB,2387,703,208,86
WMT,9223,2362,1500,387
WRB,3481,450,184,18
WSM,6162,325,314,71
WST,1411,1340,203,96
WTW,12000,7734,324,208
WY,415,113,169,42
WYNN,395,273,132,72
XEL,2614,1009,172,70
XOM,12000,4347,723,216
XYL,699,230,153,69
XYZ,12000,12000,346,236
YUM,5002,1286,613,128
ZBH,801,171,245,52
ZBRA,1510,596,216,65
ZTS,773,190,198,58
